Point,X(Minutes),Y(Counts),Analyte
598,10.07,1963.249512,7mer
599,10.09,1933.296265,7mer
600,10.11,1849.281982,7mer
601,10.12,1717.923218,7mer
602,10.14,1589.748535,7mer
603,10.16,1518.640015,7mer
604,10.17,1509.405151,7mer
605,10.19,1509.701904,7mer
606,10.21,1460.598633,7mer
607,10.22,1362.70813,7mer
608,10.24,1280.821411,7mer
609,10.26,1282.914795,7mer
610,10.27,1372.752197,7mer
611,10.29,1485.769409,7mer
612,10.31,1542.095337,7mer
613,10.32,1500.704956,7mer
614,10.34,1378.895752,7mer
615,10.36,1228.855713,7mer
616,10.37,1104.314087,7mer
617,10.39,1040.3125,7mer
618,10.41,1048.349976,7mer
619,10.42,1110.659546,7mer
620,10.44,1182.952026,7mer
621,10.46,1218.569336,7mer
622,10.47,1204.897095,7mer
623,10.49,1169.105103,7mer
624,10.51,1144.119141,7mer
625,10.52,1146.496216,7mer
626,10.54,1190.443359,7mer
627,10.56,1292.456909,7mer
628,10.57,1446.162354,7mer
629,10.59,1601.812134,7mer
630,10.61,1695.370239,7mer
631,10.62,1694.488403,7mer
632,10.64,1614.670532,7mer
633,10.65,1488.738281,7mer
634,10.67,1341.77063,7mer
635,10.69,1192.409302,7mer
636,10.7,1067.572021,7mer
637,10.72,991.2918701,7mer
638,10.74,966.9064331,7mer
639,10.75,974.510437,7mer
640,10.77,991.1655884,7mer
641,10.79,1008.666321,7mer
642,10.8,1034.145508,7mer
643,10.82,1075.998901,7mer
644,10.84,1129.637207,7mer
645,10.85,1173.93103,7mer
646,10.87,1186.588257,7mer
647,10.89,1166.454102,7mer
648,10.9,1141.370239,7mer
649,10.92,1146.276733,7mer
650,10.94,1196.700195,7mer
651,10.95,1277.10376,7mer
652,10.97,1360.887207,7mer
653,10.99,1429.208008,7mer
654,11,1475.118408,7mer
655,11.02,1491.012695,7mer
656,11.04,1461.444458,7mer
657,11.05,1378.27002,7mer
658,11.07,1255.676758,7mer
659,11.09,1128.404297,7mer
660,11.1,1030.083618,7mer
661,11.12,976.6220703,7mer
662,11.14,966.6447754,7mer
663,11.15,985.867981,7mer
664,11.17,1018.139587,7mer
665,11.19,1052.997925,7mer
666,11.2,1089.435791,7mer
667,11.22,1122.051514,7mer
668,11.24,1136.743408,7mer
669,11.25,1119.394897,7mer
670,11.27,1070.764771,7mer
671,11.29,1002.638,7mer
672,11.3,929.3312378,7mer
673,11.32,869.2706909,7mer
674,11.34,845.2911987,7mer
675,11.35,871.7012939,7mer
676,11.37,942.1661377,7mer
677,11.39,1031.844604,7mer
678,11.4,1115.234253,7mer
679,11.42,1178.112183,7mer
680,11.44,1222.304565,7mer
681,11.46,1257.77832,7mer
682,11.47,1293.588257,7mer
683,11.49,1331.991455,7mer
684,11.51,1368.337524,7mer
685,11.52,1396.544067,7mer
686,11.54,1411.856079,7mer
687,11.56,1403.493408,7mer
688,11.58,1358.216187,7mer
689,11.6,1274.783691,7mer
690,11.61,1174.874634,7mer
691,11.63,1092.493408,7mer
692,11.65,1047.754395,7mer
693,11.66,1032.165283,7mer
694,11.69,1022.079041,7mer
695,11.7,1007.037476,7mer
696,11.72,1002.948242,7mer
697,11.74,1026.005493,7mer
698,11.75,1069.230347,7mer
699,11.77,1111.249023,7mer
700,11.79,1143.263672,7mer
701,11.8,1175.567261,7mer
702,11.82,1218.596802,7mer
703,11.84,1266.264526,7mer
704,11.85,1297.765869,7mer
705,11.87,1295.391968,7mer
706,11.89,1258.656494,7mer
707,11.9,1206.535645,7mer
708,11.92,1158.68335,7mer
709,11.94,1123.859497,7mer
710,11.95,1100.848511,7mer
711,11.97,1087.720215,7mer
712,11.99,1092.455811,7mer
713,12,1125.143188,7mer
714,12.03,1186.973267,7mer
715,12.04,1264.438965,7mer
716,12.06,1337.781128,7mer
717,12.08,1391.57373,7mer
718,12.09,1416.792969,7mer
719,12.11,1411.182739,7mer
720,12.13,1377.67981,7mer
721,12.14,1328.750244,7mer
722,12.16,1283.384277,7mer
723,12.18,1261.088135,7mer
724,12.19,1268.923096,7mer
725,12.21,1302.441528,7mer
726,12.22,1354.274902,7mer
727,12.24,1418.036011,7mer
728,12.26,1480.030396,7mer
729,12.27,1516.830933,7mer
730,12.29,1508.868774,7mer
731,12.31,1467.508545,7mer
732,12.32,1433.86731,7mer
733,12.34,1445.129883,7mer
734,12.36,1496.751953,7mer
735,12.37,1545.990234,7mer
736,12.39,1548.864502,7mer
737,12.41,1491.140991,7mer
738,12.42,1386.972412,7mer
739,12.44,1262.52771,7mer
740,12.46,1141.364258,7mer
741,12.47,1040.726074,7mer
742,12.49,974.2297363,7mer
743,12.51,952.9389648,7mer
744,12.52,976.5722656,7mer
745,12.54,1037.556152,7mer
746,12.56,1129.459229,7mer
747,12.57,1250.078857,7mer
748,12.59,1381.081543,7mer
749,12.61,1480.334229,7mer
750,12.62,1503.649536,7mer
751,12.64,1438.483398,7mer
752,12.66,1314.883911,7mer
753,12.67,1179.602661,7mer
754,12.69,1065.370728,7mer
755,12.71,987.0401001,7mer
756,12.72,949.5241089,7mer
757,12.74,951.3284302,7mer
758,12.76,979.1578979,7mer
759,12.77,1016.216125,7mer
760,12.79,1054.065552,7mer
761,12.81,1098.230469,7mer
762,12.82,1152.02063,7mer
763,12.84,1207.663086,7mer
764,12.86,1247.437378,7mer
765,12.87,1259.794189,7mer
766,12.89,1246.016479,7mer
767,12.91,1213.078735,7mer
768,12.92,1165.297729,7mer
769,12.94,1105.640869,7mer
770,12.96,1043.04187,7mer
771,12.97,998.2714233,7mer
772,12.99,988.8875122,7mer
773,13.01,1011.975159,7mer
774,13.02,1044.703979,7mer
775,13.04,1070.544189,7mer
776,13.06,1093.776123,7mer
777,13.07,1123.220703,7mer
778,13.09,1146.551392,7mer
779,13.1,1140.183228,7mer
780,13.12,1101.446899,7mer
781,13.14,1059.603149,7mer
782,13.15,1047.032837,7mer
783,13.17,1067.320801,7mer
784,13.19,1097.759766,7mer
785,13.2,1114.845825,7mer
786,13.22,1108.909546,7mer
787,13.24,1078.938232,7mer
788,13.25,1026.912598,7mer
789,13.27,965.0499878,7mer
790,13.29,919.9021606,7mer
791,13.3,917.2753296,7mer
792,13.32,960.1484375,7mer
793,13.34,1025.289673,7mer
794,13.35,1081.465454,7mer
795,13.37,1109.05481,7mer
796,13.39,1102.08667,7mer
797,13.4,1064.574951,7mer
798,13.42,1010.851685,7mer
799,13.44,968.0335083,7mer
800,13.45,965.4143677,7mer
801,13.47,1008.444458,7mer
802,13.49,1065.097534,7mer
803,13.5,1092.763672,7mer
804,13.52,1076.307617,7mer
805,13.54,1035.135864,7mer
806,13.55,998.4682617,7mer
807,13.57,984.1762695,7mer
808,13.59,997.2961426,7mer
809,13.6,1036.588745,7mer
810,13.62,1092.03064,7mer
811,13.64,1148.05957,7mer
812,13.65,1193.942017,7mer
813,13.67,1231.220215,7mer
814,13.69,1263.822388,7mer
815,13.7,1281.098022,7mer
816,13.72,1260.15564,7mer
817,13.74,1189.768555,7mer
818,13.75,1089.998047,7mer
819,13.77,1004.513733,7mer
820,13.79,973.9310913,7mer
821,13.8,1013.078613,7mer
822,13.82,1107.337646,7mer
823,13.84,1219.960205,7mer
824,13.85,1310.450684,7mer
825,13.87,1353.556519,7mer
826,13.89,1348.223999,7mer
827,13.9,1306.955078,7mer
828,13.92,1246.838623,7mer
829,13.94,1182.400269,7mer
830,13.95,1118.87146,7mer
831,13.97,1052.448853,7mer
832,13.98,982.5444946,7mer
833,14,920.850647,7mer
834,14.02,889.1013794,7mer
835,14.03,901.4329834,7mer
836,14.05,946.8549194,7mer
837,14.07,992.0715332,7mer
838,14.08,1005.785706,7mer
839,14.1,976.7402954,7mer
840,14.12,913.7156982,7mer
841,14.13,833.4095459,7mer
842,14.15,759.0471802,7mer
843,14.17,716.8549805,7mer
844,14.18,726.8970947,7mer
845,14.2,795.1535645,7mer
846,14.22,908.4207764,7mer
847,14.23,1039.526367,7mer
848,14.25,1161.628418,7mer
849,14.27,1258.047119,7mer
850,14.28,1324.937622,7mer
851,14.3,1367.382935,7mer
852,14.32,1391.836426,7mer
853,14.33,1400.540771,7mer
854,14.35,1392.202759,7mer
855,14.37,1367.773926,7mer
856,14.38,1333.900635,7mer
857,14.4,1299.063354,7mer
858,14.42,1267.970703,7mer
859,14.43,1242.481079,7mer
860,14.45,1221.512085,7mer
861,14.47,1207.842163,7mer
862,14.48,1208.718018,7mer
863,14.5,1232.749878,7mer
864,14.52,1280.756958,7mer
865,14.53,1343.149292,7mer
866,14.55,1403.999512,7mer
867,14.57,1447.274048,7mer
868,14.58,1466.813843,7mer
869,14.6,1471.580322,7mer
870,14.62,1480.173828,7mer
